"freq_hz","gain_db"
0.0,-29.7528930708
54809.5703125,-50.3059342455
109619.140625,-74.9073924204
164428.710938,-71.8970924638
219238.28125,-27.1266761962
274047.851562,-27.2415538797
328857.421875,-27.333925677
383666.992188,-27.402385612
438476.5625,-27.3359384006
493286.132812,-27.401537147
548095.703125,-27.4915435312
602905.273438,-27.3709874059
657714.84375,-27.4465019899
712524.414062,-27.54733382
767333.984375,-27.3401947742
822143.554688,-27.6541577481
876953.125,-27.7709332157
931762.695312,-27.7920616885
986572.265625,-27.8479004713
1041381.83594,-27.878823757
1096191.40625,-27.9239072329
1151000.97656,-28.2454429452
1205810.54688,-28.2564159042
1260620.11719,-28.2822695056
1315429.6875,-28.4065523891
1370239.25781,-28.3903489815
1425048.82812,-28.5460755303
1479858.39844,-28.5664504543
1534667.96875,-28.6969285244
1589477.53906,-28.6841121878
1644287.10938,-28.4689193174
1699096.67969,-28.7963755785
1753906.25,-28.7806132373
1808715.82031,-28.8658341638
1863525.39062,-29.0070033484
1918334.96094,-28.7940368039
1973144.53125,-29.0240589778
2027954.10156,-29.0536876492
2082763.67188,-28.7970668212
2137573.24219,-29.0785241032
2192382.8125,-29.1070428454
2247192.38281,-29.2148240872
2302001.95312,-29.0717776257
2356811.52344,-28.9926837001
2411621.09375,-29.2157023665
2466430.66406,-28.8697798144
2521240.23438,-29.1945559816
2576049.80469,-29.1887325434
2630859.375,-28.8377240419
2685668.94531,-29.2400721306
2740478.51562,-29.2687861152
2795288.08594,-29.2278995163
2850097.65625,-29.3445483726
2904907.22656,-29.1616399939
2959716.79688,-29.3190472038
3014526.36719,-29.3656516581
3069335.9375,-29.5146863293
3124145.50781,-29.5362566149
3178955.07812,-29.0164455689
3233764.64844,-29.305037306
3288574.21875,-29.236716846
3343383.78906,-29.3002579454
3398193.35938,-29.2587205254
3453002.92969,-29.186928862
3507812.5,-28.9705451618
3562622.07031,-29.2941718788
3617431.64062,-29.2583656952
3672241.21094,-29.1538394882
3727050.78125,-29.1381653387
3781860.35156,-29.1475515092
3836669.92188,-28.9572829015
3891479.49219,-28.9355432277
3946289.0625,-28.9104171227
4001098.63281,-28.85746828
4055908.20312,-28.6579743738
4110717.77344,-28.5482844796
4165527.34375,-28.4530223445
4220336.91406,-28.2473167012
4275146.48438,-28.1180224834
4329956.05469,-27.9398107652
4384765.625,-27.7206320607
4439575.19531,-27.4947337021
4494384.76562,-27.2228984464
4549194.33594,-26.888212697
4604003.90625,-26.3374767993
4658813.47656,-25.9912095403
4713623.04688,-25.4097365992
4768432.61719,-24.8269719913
4823242.1875,-24.3427652938
4878051.75781,-23.7360720817
4932861.32812,-23.0322698157
4987670.89844,-22.3191047145
5042480.46875,-21.5486530003
5097290.03906,-20.7763235424
5152099.60938,-19.9732162484
5206909.17969,-19.2458528288
5261718.75,-18.4068148576
5316528.32031,-17.6592329856
5371337.89062,-16.9115093968
5426147.46094,-16.1450609746
5480957.03125,-15.4160110162
5535766.60156,-14.7832682168
5590576.17188,-14.0982392272
5645385.74219,-13.4407781715
5700195.3125,-12.8265210365
5755004.88281,-12.1821734813
5809814.45312,-11.6356745226
5864624.02344,-11.1623358235
5919433.59375,-10.702887953
5974243.16406,-10.1830475789
6029052.73438,-9.71600762203
6083862.30469,-9.27864337242
6138671.875,-8.8538026268
6193481.44531,-8.4585457277
6248291.01562,-7.9734015973
6303100.58594,-7.59180290304
6357910.15625,-7.20522943139
6412719.72656,-6.77666962702
6467529.29688,-6.45241648833
6522338.86719,-6.11473005656
6577148.4375,-5.74162339761
6631958.00781,-5.47267307071
6686767.57812,-5.16051334268
6741577.14844,-4.86256736205
6796386.71875,-4.58615750423
6851196.28906,-4.31271818754
6906005.85938,-4.04620262395
6960815.42969,-3.8180804668
7015625.0,-3.49269996382
7070434.57031,-3.28765462273
7125244.14062,-3.10457519271
7180053.71094,-2.82889423269
7234863.28125,-2.62218763116
7289672.85156,-2.45176818284
7344482.42188,-2.24996578326
7399291.99219,-2.05761123363
7454101.5625,-1.87291053729
7508911.13281,-1.67781334163
7563720.70312,-1.528927029
7618530.27344,-1.3667973104
7673339.84375,-1.21295578986
7728149.41406,-1.01169177004
7782958.98438,-0.849839359345
7837768.55469,-0.785038888968
7892578.125,-0.643866735473
7947387.69531,-0.548320607341
8002197.26562,-0.421348619355
8057006.83594,-0.325606434798
8111816.40625,-0.185935153551
8166625.97656,-0.0923219080601
8221435.54688,-0.00765485280012
8276245.11719,0.06794263917
8331054.6875,0.1869654671
8385864.25781,0.255923159705
8440673.82812,0.328966476377
8495483.39844,0.40080068603
8550292.96875,0.475362328864
8605102.53906,0.543792432487
8659912.10938,0.598342624017
8714721.67969,0.632236971362
8769531.25,0.694155897116
