"freq_hz","gain_db"
0.0,-39.0
54809.5703125,-60.5349032287
109619.140625,-72.9985184693
164428.710938,-68.5057725985
219238.28125,-20.0566957936
274047.851562,-22.9794098215
328857.421875,-26.4845020536
383666.992188,-23.7441830649
438476.5625,-23.3587022907
493286.132812,-20.8409922159
548095.703125,-22.3661431338
602905.273438,-22.6530301334
657714.84375,-22.8671296235
712524.414062,-23.3254448849
767333.984375,-24.0504528255
822143.554688,-24.6151433611
876953.125,-24.6327685523
931762.695312,-24.6673863833
986572.265625,-24.192271405
1041381.83594,-23.8661713588
1096191.40625,-23.7128808396
1151000.97656,-23.3001722597
1205810.54688,-22.624839624
1260620.11719,-21.9704453708
1315429.6875,-21.9342987852
1370239.25781,-22.386332368
1425048.82812,-21.6212573508
1479858.39844,-21.2677140153
1534667.96875,-20.8293908115
1589477.53906,-20.934576806
1644287.10938,-20.7112051544
1699096.67969,-20.5148699053
1753906.25,-20.449870541
1808715.82031,-20.4258741417
1863525.39062,-20.3768144448
1918334.96094,-20.3636598545
1973144.53125,-20.3772526714
2027954.10156,-20.4133732004
2082763.67188,-20.5992619066
2137573.24219,-20.7075098505
2192382.8125,-20.8500509468
2247192.38281,-21.0320187659
2302001.95312,-21.1888838628
2356811.52344,-21.3688803538
2411621.09375,-21.5336084859
2466430.66406,-21.7435584259
2521240.23438,-21.9008219895
2576049.80469,-22.0486419707
2630859.375,-22.2114597297
2685668.94531,-22.3713834917
2740478.51562,-22.4732387179
2795288.08594,-22.5482560451
2850097.65625,-22.7063712739
2904907.22656,-22.7379252438
2959716.79688,-22.9032705295
3014526.36719,-22.9626991199
3069335.9375,-23.1052958967
3124145.50781,-23.187987271
3178955.07812,-23.2317201732
3233764.64844,-23.3186331192
3288574.21875,-23.3719965876
3343383.78906,-23.3608674359
3398193.35938,-23.4530405021
3453002.92969,-23.50417039
3507812.5,-23.4298618606
3562622.07031,-23.4865701742
3617431.64062,-23.4396492391
3672241.21094,-23.4076622149
3727050.78125,-23.3291198757
3781860.35156,-23.2231940346
3836669.92188,-23.036510495
3891479.49219,-22.9359380843
3946289.0625,-22.7906602818
4001098.63281,-22.5126899424
4055908.20312,-22.2762498537
4110717.77344,-22.038104223
4165527.34375,-21.7232580779
4220336.91406,-21.3619252577
4275146.48438,-20.9557865909
4329956.05469,-20.6431016796
4384765.625,-20.0992855486
4439575.19531,-19.5799682945
4494384.76562,-19.0136814703
4549194.33594,-18.4319108251
4604003.90625,-17.8486085764
4658813.47656,-17.1814319844
4713623.04688,-16.621846135
4768432.61719,-16.0233803895
4823242.1875,-15.4312596655
4878051.75781,-14.8568200913
4932861.32812,-14.310398776
4987670.89844,-13.7218481903
5042480.46875,-13.2254876848
5097290.03906,-12.6666047345
5152099.60938,-12.2410034207
5206909.17969,-11.7594158493
5261718.75,-11.313045539
5316528.32031,-10.9252242687
5371337.89062,-10.5084926451
5426147.46094,-10.166259413
5480957.03125,-9.83688732807
5535766.60156,-9.48389612287
5590576.17188,-9.21814985652
5645385.74219,-8.89987522759
5700195.3125,-8.62816737905
5755004.88281,-8.37987912683
5809814.45312,-8.15370133639
5864624.02344,-7.90685149532
5919433.59375,-7.73920285065
5974243.16406,-7.52618296355
6029052.73438,-7.36300577754
6083862.30469,-7.16564067649
6138671.875,-7.00411601463
6193481.44531,-6.8600538292
6248291.01562,-6.63898797518
6303100.58594,-6.49594073169
6357910.15625,-6.32801859762
6412719.72656,-6.20409559212
6467529.29688,-6.07889778493
6522338.86719,-5.9511101554
6577148.4375,-5.83715727927
6631958.00781,-5.72379778963
6686767.57812,-5.60750167925
6741577.14844,-5.50374584536
6796386.71875,-5.43395982708
6851196.28906,-5.33686551173
6906005.85938,-5.25087412125
6960815.42969,-5.18152669741
7015625.0,-5.05708078469
7070434.57031,-4.97770418875
7125244.14062,-4.88108212752
7180053.71094,-4.83405558033
7234863.28125,-4.74074410245
7289672.85156,-4.70998823354
7344482.42188,-4.59873950487
7399291.99219,-4.54836795375
7454101.5625,-4.46539842248
7508911.13281,-4.39790538888
7563720.70312,-4.36256889164
7618530.27344,-4.3138891509
7673339.84375,-4.26361974857
7728149.41406,-4.22978514296
7782958.98438,-4.14187285005
7837768.55469,-4.06047486351
7892578.125,-4.04132892058
7947387.69531,-3.98620481866
8002197.26562,-3.95797247981
8057006.83594,-3.85783545898
8111816.40625,-3.85082983541
8166625.97656,-3.79176032647
8221435.54688,-3.78980776177
8276245.11719,-3.71280003442
8331054.6875,-3.67290095268
8385864.25781,-3.68590337329
8440673.82812,-3.62778520113
8495483.39844,-3.54369285598
8550292.96875,-3.58528101897
8605102.53906,-3.53987689226
8659912.10938,-3.45883144593
8714721.67969,-3.42651129762
8769531.25,-3.38629500144
8824340.82031,-3.36140700791
8879150.39062,-3.32015804891
8933959.96094,-3.2898785307
8988769.53125,-3.26698397773
9043579.10156,-3.22734024834
9098388.67188,-3.22025653408
9153198.24219,-3.1863926852
9208007.8125,-3.1561972008
9262817.38281,-3.1195399864
9317626.95312,-3.099137185
9372436.52344,-3.04483839678
9427246.09375,-2.99795410133
9482055.66406,-2.99657929496
9536865.23438,-2.94659869222
9591674.80469,-2.9216831441
9646484.375,-2.89905475608
9701293.94531,-2.84433424239
9756103.51562,-2.85786588016
9810913.08594,-2.85160892593
9865722.65625,-2.82244923803
9920532.22656,-2.77550431115
9975341.79688,-2.75164421266
10030151.3672,-2.7388108129
10084960.9375,-2.70561455849
10139770.5078,-2.7032809166
10194580.0781,-2.66365092201
10249389.6484,-2.64839077953
10304199.2188,-2.59518451761
10359008.7891,-2.60105490684
10413818.3594,-2.58547719474
10468627.9297,-2.51468859413
10523437.5,-2.51047016256
10578247.0703,-2.48094374642
10633056.6406,-2.47515075271
10687866.2109,-2.43223188789
10742675.7812,-2.44092207698
10797485.3516,-2.38923614529
10852294.9219,-2.381644551
10907104.4922,-2.35644624771
10961914.0625,-2.35620631524
11016723.6328,-2.34341205742
11071533.2031,-2.27412945148
11126342.7734,-2.28370313218
11181152.3438,-2.2572243028
11235961.9141,-2.21914755682
11290771.4844,-2.20434643607
11345581.0547,-2.18058089412
11400390.625,-2.17469666368
11455200.1953,-2.15346959633
11510009.7656,-2.11245857815
11564819.3359,-2.10683755806
11619628.9062,-2.0880780838
11674438.4766,-2.05954722773
11729248.0469,-2.0854031306
11784057.6172,-2.02363787448
11838867.1875,-1.99937153139
11893676.7578,-2.00180815504
11948486.3281,-1.97260525719
12003295.8984,-1.95173619668
12058105.4688,-1.91585874929
12112915.0391,-1.90929339128
12167724.6094,-1.89024228816
12222534.1797,-1.88297045531
12277343.75,-1.82738509495
12332153.3203,-1.83520592503
12386962.8906,-1.79797195068
12441772.4609,-1.79406012605
12496582.0312,-1.75431930702
12551391.6016,-1.74435513119
12606201.1719,-1.75660159052
12661010.7422,-1.74238262869
12715820.3125,-1.7066300277
12770629.8828,-1.67314969197
12825439.4531,-1.6742162456
12880249.0234,-1.6657820384
12935058.5938,-1.65773156906
12989868.1641,-1.61776467243
13044677.7344,-1.60933741856
13099487.3047,-1.60558876764
13154296.875,-1.59169671571
13209106.4453,-1.56265643572
13263916.0156,-1.52450069022
13318725.5859,-1.52832276091
13373535.1562,-1.53046446023
13428344.7266,-1.51263783909
13483154.2969,-1.47761858143
13537963.8672,-1.47581568467
13592773.4375,-1.4609646897
13647583.0078,-1.44876676469
13702392.5781,-1.41445624283
13757202.1484,-1.37978040406
13812011.7188,-1.38491599827
13866821.2891,-1.37047149787
13921630.8594,-1.33269169407
13976440.4297,-1.30538722734
14031250.0,-1.27504612849
14086059.5703,-1.30756891753
14140869.1406,-1.28764254994
14195678.7109,-1.2632789745
14250488.2812,-1.22310578712
14305297.8516,-1.23740635706
14360107.4219,-1.21447219627
14414916.9922,-1.19923044669
14469726.5625,-1.26460142013
14524536.1328,-1.22511544017
14579345.7031,-1.18475736161
14634155.2734,-1.1611036201
14688964.8438,-1.15936688565
14743774.4141,-1.15069856955
14798583.9844,-1.13015939063
14853393.5547,-1.10717871854
14908203.125,-1.07239664991
14963012.6953,-1.07676861546
15017822.2656,-1.06353857637
15072631.8359,-1.04949258194
15127441.4062,-1.01731396771
15182250.9766,-1.02179807504
15237060.5469,-1.00817461314
15291870.1172,-1.00904155954
15346679.6875,-0.969828528872
15401489.2578,-0.948324752454
15456298.8281,-0.978572293627
15511108.3984,-0.92188283474
15565917.9688,-0.93586349102
15620727.5391,-0.941060291853
15675537.1094,-0.899285383772
15730346.6797,-0.899970701393
15785156.25,-0.863283974162
15839965.8203,-0.883372068098
15894775.3906,-0.882123263625
15949584.9609,-0.821346334586
16004394.5312,-0.81880240116
16059204.1016,-0.825868601954
16114013.6719,-0.865956802044
16168823.2422,-0.835572258635
16223632.8125,-0.818334075352
16278442.3828,-0.823370518901
16333251.9531,-0.803144223894
16388061.5234,-0.81782909139
16442871.0938,-0.788570205055
16497680.6641,-0.782094157227
16552490.2344,-0.793144677443
16607299.8047,-0.777659568716
16662109.375,-0.794992073004
16716918.9453,-0.767050113866
16771728.5156,-0.762302965934
16826538.0859,-0.741117743343
16881347.6562,-0.740573743313
16936157.2266,-0.765654093876
16990966.7969,-0.750708127586
17045776.3672,-0.720669724741
17100585.9375,-0.697771118565
17155395.5078,-0.719104001475
17210205.0781,-0.701636840591
17265014.6484,-0.656425177267
17319824.2188,-0.635446526502
17374633.7891,-0.63221687287
17429443.3594,-0.654219373284
17484252.9297,-0.676865998518
17539062.5,-0.628848142612
17593872.0703,-0.616049801057
17648681.6406,-0.58360364925
17703491.2109,-0.603684348909
17758300.7812,-0.583726059059
17813110.3516,-0.619905499193
17867919.9219,-0.581188351851
17922729.4922,-0.605697528549
17977539.0625,-0.543681827268
18032348.6328,-0.519587551327
18087158.2031,-0.540789843485
18141967.7734,-0.5297608867
18196777.3438,-0.496101814047
18251586.9141,-0.527180365665
18306396.4844,-0.487311487101
18361206.0547,-0.471358028784
18416015.625,-0.491912627384
18470825.1953,-0.434539379901
18525634.7656,-0.47021066154
18580444.3359,-0.46969744435
18635253.9062,-0.505915292611
18690063.4766,-0.434595669165
18744873.0469,-0.420462710362
18799682.6172,-0.427283109078
18854492.1875,-0.434628099604
18909301.7578,-0.430499270044
18964111.3281,-0.378889976449
19018920.8984,-0.402908207634
19073730.4688,-0.409794220293
19128540.0391,-0.421440945976
19183349.6094,-0.413368603389
19238159.1797,-0.37650620869
19292968.75,-0.37786878458
19347778.3203,-0.356245696844
19402587.8906,-0.397000245476
19457397.4609,-0.361648175924
19512207.0312,-0.363669993593
19567016.6016,-0.340667114516
19621826.1719,-0.384965128304
19676635.7422,-0.337231550792
19731445.3125,-0.320204593168
19786254.8828,-0.356991994504
19841064.4531,-0.311480057544
19895874.0234,-0.337240027808
19950683.5938,-0.3234034633
20005493.1641,-0.289410170041
20060302.7344,-0.302179228064
20115112.3047,-0.313110446768
20169921.875,-0.313214882692
20224731.4453,-0.280384771856
20279541.0156,-0.273438692296
20334350.5859,-0.266979308462
20389160.1562,-0.265385709907
20443969.7266,-0.287460553876
20498779.2969,-0.276154983852
20553588.8672,-0.284982440706
20608398.4375,-0.244167346242
20663208.0078,-0.241272558488
20718017.5781,-0.258220880374
20772827.1484,-0.20465596802
20827636.7188,-0.261705371839
20882446.2891,-0.244813606551
20937255.8594,-0.241512822558
20992065.4297,-0.218735183551
21046875.0,-0.235184263226
21101684.5703,-0.240612631549
21156494.1406,-0.243544260536
21211303.7109,-0.1793130133
21266113.2812,-0.208138707129
21320922.8516,-0.243820203875
21375732.4219,-0.175685340894
21430541.9922,-0.210915261048
21485351.5625,-0.189529071792
21540161.1328,-0.192705161961
21594970.7031,-0.17823536306
21649780.2734,-0.151994582246
21704589.8438,-0.18135651834
21759399.4141,-0.199617492326
21814208.9844,-0.187976553964
21869018.5547,-0.214761963928
21923828.125,-0.188835036055
21978637.6953,-0.166048434397
22033447.2656,-0.173689357325
22088256.8359,-0.1521460876
22143066.4062,-0.165532785827
22197875.9766,-0.185460060738
22252685.5469,-0.171727555227
22307495.1172,-0.157888036156
22362304.6875,-0.141988582564
22417114.2578,-0.136350616709
22471923.8281,-0.133326960654
22526733.3984,-0.147442549618
22581542.9688,-0.137890981596
22636352.5391,-0.160867910679
22691162.1094,-0.15007430294
22745971.6797,-0.156826769104
22800781.25,-0.111546963091
22855590.8203,-0.118439006342
22910400.3906,-0.128492348566
22965209.9609,-0.12195626483
23020019.5312,-0.146218005471
23074829.1016,-0.155873914209
23129638.6719,-0.152726210906
23184448.2422,-0.12650326843
23239257.8125,-0.119444401606
23294067.3828,-0.136325503312
23348876.9531,-0.103366934665
23403686.5234,-0.0856714562091
23458496.0938,-0.112605959443
23513305.6641,-0.107825790153
23568115.2344,-0.0906974078598
23622924.8047,-0.107358430484
23677734.375,-0.0856438996212
23732543.9453,-0.0721339544254
23787353.5156,-0.114218791335
23842163.0859,-0.115619709133
23896972.6562,-0.159002289672
23951782.2266,-0.129210169664
24006591.7969,-0.120478891934
24061401.3672,-0.0847593026021
24116210.9375,-0.0833064215418
24171020.5078,-0.0855777588671
24225830.0781,-0.107925930795
24280639.6484,-0.0819557322544
24335449.2188,-0.111740254428
24390258.7891,-0.0795022025474
24445068.3594,-0.100926289506
24499877.9297,-0.0814168320285
24554687.5,-0.0647232808022
24609497.0703,-0.0975262924208
24664306.6406,-0.103017688947
24719116.2109,-0.112148350893
24773925.7812,-0.0856532853818
24828735.3516,-0.0604954046492
24883544.9219,-0.100574499186
24938354.4922,-0.0895549084499
24993164.0625,-0.0669190357704
25047973.6328,-0.0456296137663
25102783.2031,-0.0818022276694
25157592.7734,-0.0747244579866
25212402.3438,-0.0873712630806
25267211.9141,-0.0632116653822
25322021.4844,-0.0780968278778
25376831.0547,-0.049383800466
25431640.625,-0.0766523615358
25486450.1953,-0.0469905229373
25541259.7656,-0.0806081189502
25596069.3359,-0.0813157818145
25650878.9062,-0.043079824951
25705688.4766,-0.0783591982994
25760498.0469,-0.0504787618893
25815307.6172,-0.0615895978587
25870117.1875,-0.0581608015709
25924926.7578,-0.0893893429096
25979736.3281,-0.0646964301749
26034545.8984,-0.0751154558575
26089355.4688,-0.0561976374987
26144165.0391,-0.0531816072061
26198974.6094,-0.0431928532772
26253784.1797,-0.0186160845706
26308593.75,-0.0348159997597
26363403.3203,-0.0458676316619
26418212.8906,-0.0363622685284
26473022.4609,-0.0437353414919
26527832.0312,-0.0813861252777
26582641.6016,-0.0664693616032
26637451.1719,-0.0827984496926
26692260.7422,-0.0388059187248
26747070.3125,-0.0308257720418
26801879.8828,-0.0408744990786
26856689.4531,-0.0710526301791
26911499.0234,-0.0792434945776
26966308.5938,-0.0755260412762
27021118.1641,-0.0415096462526
27075927.7344,-0.0511064512942
27130737.3047,-0.0754739480479
27185546.875,-0.0462860026822
27240356.4453,-0.0670947745305
27295166.0156,-0.088707205986
27349975.5859,-0.0642737713746
27404785.1562,-0.0670154344397
27459594.7266,-0.0532485815542
27514404.2969,-0.0514660927372
27569213.8672,-0.0677116679924
27624023.4375,-0.0445454474484
27678833.0078,-0.0420150197583
27733642.5781,-0.0513744503461
27788452.1484,-0.0662250676156
27843261.7188,-0.0572567622801
27898071.2891,-0.0934323036407
27952880.8594,-0.0181088266008
28007690.4297,0.0
28062500.0,-0.062336649862
28117309.5703,-0.0857431168312
28172119.1406,-0.0822662160059
28226928.7109,-0.0503104499648
28281738.2812,-0.055625438764
28336547.8516,-0.0670922878945
28391357.4219,-0.060341379395
28446166.9922,-0.0709861287228
28500976.5625,-0.045634883237
28555786.1328,-0.0696893471696
28610595.7031,-0.0868495141788
28665405.2734,-0.0463322311466
28720214.8438,-0.0398978419272
28775024.4141,-0.0313448465877
28829833.9844,-0.0379309325042
28884643.5547,-0.0617510123797
28939453.125,-0.0620360624141
28994262.6953,-0.0779345845862
29049072.2656,-0.0679237151379
29103881.8359,-0.0908222223948
29158691.4062,-0.0740032976118
29213500.9766,-0.0845352692269
29268310.5469,-0.0240354519239
29323120.1172,-0.062755633083
29377929.6875,-0.101786491559
29432739.2578,-0.053199522591
29487548.8281,-0.0679171118832
29542358.3984,-0.0761287834152
29597167.9688,-0.0806795155826
29651977.5391,-0.088664650673
29706787.1094,-0.065511759241
29761596.6797,-0.103588388453
29816406.25,-0.095493683159
29871215.8203,-0.106294790827
29926025.3906,-0.106122852045
29980834.9609,-0.08779170807
30035644.5312,-0.0796545494469
30090454.1016,-0.116900797832
30145263.6719,-0.0641576518325
30200073.2422,-0.117394035005
30254882.8125,-0.118076616614
30309692.3828,-0.117052632753
30364501.9531,-0.127782905901
30419311.5234,-0.10509809017
30474121.0938,-0.111716727733
30528930.6641,-0.0973739837616
30583740.2344,-0.0732325444887
30638549.8047,-0.0906640115018
30693359.375,-0.0925325588278
30748168.9453,-0.0832325769
30802978.5156,-0.0870781465818
30857788.0859,-0.109000191548
30912597.6562,-0.12279353726
30967407.2266,-0.134554918716
31022216.7969,-0.109942726862
31077026.3672,-0.0821837753663
31131835.9375,-0.0895683586469
31186645.5078,-0.125466514508
31241455.0781,-0.101401781222
31296264.6484,-0.124343605644
31351074.2188,-0.106175500496
31405883.7891,-0.0964354693901
31460693.3594,-0.134284222519
31515502.9297,-0.127982573456
31570312.5,-0.142445699137
31625122.0703,-0.0906619544216
31679931.6406,-0.109371280786
31734741.2109,-0.114652498668
31789550.7812,-0.123225779344
31844360.3516,-0.0781543840011
31899169.9219,-0.137414028762
31953979.4922,-0.134455160621
32008789.0625,-0.110630711948
32063598.6328,-0.127007276579
32118408.2031,-0.109585592495
32173217.7734,-0.141080369402
32228027.3438,-0.147467959015
32282836.9141,-0.135331391889
32337646.4844,-0.13544635307
32392456.0547,-0.125664046798
32447265.625,-0.145427836949
32502075.1953,-0.133147216566
32556884.7656,-0.16041204818
32611694.3359,-0.141743564706
32666503.9062,-0.126726219753
32721313.4766,-0.150377603895
32776123.0469,-0.166736434972
32830932.6172,-0.157646108202
32885742.1875,-0.155126840045
32940551.7578,-0.147775843804
32995361.3281,-0.163411159661
33050170.8984,-0.143139610786
33104980.4688,-0.129622451277
33159790.0391,-0.161698698404
33214599.6094,-0.155448670731
33269409.1797,-0.197199224409
33324218.75,-0.174582576327
33379028.3203,-0.172031011944
33433837.8906,-0.190607181465
33488647.4609,-0.157525366539
33543457.0312,-0.196532764549
33598266.6016,-0.143970137741
33653076.1719,-0.171385382448
33707885.7422,-0.180066927194
33762695.3125,-0.180461361841
33817504.8828,-0.197073995341
33872314.4531,-0.181010477109
33927124.0234,-0.187363650598
33981933.5938,-0.176003553697
34036743.1641,-0.195675928019
34091552.7344,-0.191570368572
34146362.3047,-0.225152826766
34201171.875,-0.228452615489
34255981.4453,-0.190899600592
34310791.0156,-0.168723473958
34365600.5859,-0.197237155982
34420410.1562,-0.175765475846
34475219.7266,-0.208840612107
34530029.2969,-0.190945513491
34584838.8672,-0.209383203331
34639648.4375,-0.20398779729
34694458.0078,-0.185565534146
34749267.5781,-0.194131099541
34804077.1484,-0.210540254985
34858886.7188,-0.213582335526
34913696.2891,-0.227838324227
34968505.8594,-0.198839012259
35023315.4297,-0.214760479049
35078125.0,-0.222568953118
35132934.5703,-0.210123736457
35187744.1406,-0.201977200084
35242553.7109,-0.209814628759
35297363.2812,-0.17855593949
35352172.8516,-0.219833959662
35406982.4219,-0.210320175025
35461791.9922,-0.235202656956
35516601.5625,-0.21842263049
35571411.1328,-0.240141701499
35626220.7031,-0.248839770259
35681030.2734,-0.238423005814
35735839.8438,-0.244794362541
35790649.4141,-0.228962114395
35845458.9844,-0.219850587415
35900268.5547,-0.259040568491
35955078.125,-0.22568823665
36009887.6953,-0.224205321235
36064697.2656,-0.22701224575
36119506.8359,-0.251597391192
36174316.4062,-0.27736943642
36229125.9766,-0.255705839693
36283935.5469,-0.262426404129
36338745.1172,-0.278973403623
36393554.6875,-0.262613116112
36448364.2578,-0.243562886329
36503173.8281,-0.245372214943
36557983.3984,-0.239777118777
36612792.9688,-0.274501854605
36667602.5391,-0.286267708175
36722412.1094,-0.241624655466
36777221.6797,-0.269075823489
36832031.25,-0.271365406831
36886840.8203,-0.248311462377
36941650.3906,-0.261103610486
36996459.9609,-0.306643144289
37051269.5312,-0.286683529054
37106079.1016,-0.295011009912
37160888.6719,-0.254829342324
37215698.2422,-0.265589325119
37270507.8125,-0.252284496639
37325317.3828,-0.287202644076
37380126.9531,-0.298734595431
37434936.5234,-0.267294738452
37489746.0938,-0.289573177102
37544555.6641,-0.290541094243
37599365.2344,-0.320816323541
37654174.8047,-0.29887098227
37708984.375,-0.325792528858
37763793.9453,-0.336626103031
37818603.5156,-0.240606589813
37873413.0859,-0.271908933827
37928222.6562,-0.284920705809
37983032.2266,-0.297392928834
38037841.7969,-0.284580645511
38092651.3672,-0.284551569378
